approach,term,vocabulary
prayer,prayer,"Natrual Medicine,Integrative Nursing,  Lindquist"
"Prayer, distant healing","Prayer, distant healing",Natrual Medicine
"Prayer, distant healing",Distant Healing,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist"
"Prayer, distant healing",Absent Healing,Natrual Medicine
"Presence, therapeutic use of self","Presence, therapeutic use of self",Integrative Nursing
Progressive Muscle Relaxation,Progressive Muscle Relaxation,"Natrual Medicine,NCCIH, Lindquist, Integrative Nursing, Mayo, Duke"
Progressive Muscular Relaxation,Progressive Muscular Relaxation,"Natrual Medicine,Integrative Nursing"
Progressive relaxation,Progressive relaxation,"Natrual Medicine,Integrative Nursing"
Provide a heat pad,Provide a heat pad,"Natrual Medicine,Integrative Nursing"
Provide comfort and privacy,Provide comfort and privacy,Integrative Nursing
Psychic Healing,Psychic Healing,"Natrual Medicine,Natrual Medicine"
psycho education,psycho education,"SNOMED, Integrative Nursing, Duke, Cochrane"
Psychodrama,Psychodrama,"Integrative Nursing, Duke"
Psychotherapies incorporating mindfulness,Psychotherapies incorporating mindfulness,"Natrual Medicine,Cochrane"
Psychotherapies incorporating spirituality,Psychotherapies incorporating spirituality,Cochrane
Pulsed Electromagnetic Field (PEMF) Therapy,Transcranial Pulsed Electromagnetic Field Therapy,Natrual Medicine
Pulsed Electromagnetic Field (PEMF) Therapy,Pulsed Magnetic Field Therapy,Natrual Medicine
Pulsed Electromagnetic Field (PEMF) Therapy,Electromagnetic Pulse,Natrual Medicine
Qi Gong,Qi Gong,"Natrual Medicine,Integrative Nursing, NCCIH, Mayo, Duke, Cochrane,,Mayo"
Qi Gong,Medical Qi Gong,"Natrual Medicine,Integrative Nursing, NCCIH, Mayo, Duke, Cochrane"
Qi Gong,Qigong,Natrual Medicine
Qi Gong,Qigongology,Natrual Medicine
Qi Gong,Chi Kung,Natrual Medicine
Qi Gong,Hua Gong,Natrual Medicine
Qi Gong,Chi'I Kung,Natrual Medicine
Qi Gong,Qi Gong Therapy,Natrual Medicine
Qi Gong,Qigong Therapy,Natrual Medicine
Radionics,Radionics,Duke
Reducing artificial stimuli,Reducing artificial stimuli,Integrative Nursing
Reflexology,Reflexology,"Integrative Nursing, NCCIH, Lindquist, Cochrane"
Reflexology,Reflexotherapy,"Natrual Medicine,Integrative Nursing"
Reiki Therapy,Reiki Therapy,"Natrual Medicine, Integrative Nursing, Lindquist, Duke, Cochrane"
Reiki Therapy,Reiki Therapie,Natrual Medicine
Reiki Therapy,Terapia Reiki,Natrual Medicine
Reiki Therapy,Reiki,"Natrual Medicine,Integrative Nursing, Lindquist, Duke, Cochrane"
Reiki Therapy,Ray-kee,Natrual Medicine
Reiki Therapy,Reiki Touch Therapy,Natrual Medicine
relaxation practices,relaxation practices,Integrative Nursing
Relaxation responses,Relaxation responses,Integrative Nursing
Relaxation technique,Relaxation technique,"SNOMED, Cochrane"
Relaxation Therapy,Relaxation Therapy,Natrual Medicine
Relaxation Therapy,Traitement de Relaxation,Natrual Medicine
Relaxation Therapy,Therapeutic Relaxation,Natrual Medicine
Relaxation Therapy,Relaxation Treatment,Natrual Medicine
Reminiscence therapy,Reminiscence therapy,Integrative Nursing
Removal of triggers,Removal of triggers,"Integrative Nursing, NCCIH, Lindquist"
