approach,term,vocabulary
Hypnosis,Hypnosis,"Natural Medicines,Integrative Nursing, Cochrane"
Hypnotherapy,Hypnotherapy,"Natural Medicines,Integrative Nursing, Mayo, Duke"
Hypnotherapy,Hypnoanalgesia,Natural Medicines
Hypnotherapy,Antenatal Self-Hypnosis,Natural Medicines
Increase activity of preference,Increase activity of preference,Integrative Nursing
Integrative interventions,Integrative interventions,Integrative Nursing
Interpersonal Psychotherapy,Interpersonal Psychotherapy,"Integrative Nursing, NCCIH, Lindquist"
"intravenous therapy, hydration","intravenous therapy, hydration","Integrative Nursing, NCCIH, Lindquist"
Jin Shin Jyutsu,Jin Shin Jyutsu,Lindquist
Kundalini Yoga,Kundalini Yoga,Natural Medicines
Kundalini Yoga,Kundalini,"Natural Medicines,Duke"
Kundalini Yoga,Yoga of Awareness,Natural Medicines
Light Therapy,Light Therapy,"Natural Medicines,Integrative Nursing, Duke, Cochrane, Lindquist"
Light Therapy,Phototherapy,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist, Cochrane"
Light Therapy,Light Treatment,Natural Medicines
Light Therapy,Photophoresis,Natural Medicines
Light Therapy,Photomedicine,Natural Medicines
Low level Laser Therapy,Low level Laser Therapy,"Integrative Nursing, Cochrane"
Low level Laser Therapy,Cold Laser Therapy,"Integrative Nursing, Cochrane"
Lowering lights as the evening progresses,Lowering lights as the evening progresses,Integrative Nursing
Magnet Therapy,Magnet Therapy,Natural Medicines
Magnet Therapy,Magnetic,Natural Medicines
Magnet Therapy,Magnet,Natural Medicines
Magnet Therapy,Magnetoterapia,Natural Medicines
Manipulation,Manipulation,Mayo
Manipulative Therapy,Manipulative Therapy,Natural Medicines
Mantra Meditation,Mantra Meditation,Natural Medicines
Manual Lymph Drainage,Manual Lymph Drainage,"Integrative Nursing, NCCIH, Lindquist"
Massage,Massage,"Natural Medicines, Mayo, Cochrane"
Mechanical therapies,Mechanical therapies,"Integrative Nursing, NCCIH, Lindquist"
"Medicine, Traditional","Medicine, Traditional",Lindquist
Meditation,Meditation,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist, Cochrane"
Mindfulness,Mindfulness,Natural Medicines
Mindfulness interventions,Mindfulness interventions,Integrative Nursing
Mindfulness-Based Stress Reduction,Mindfulness-Based Stress Reduction,Natural Medicines
Mobilization,Mobilization,Natural Medicines
Morita therapy,Morita therapy,Cochrane
Movement therapies,Movement therapies,"Natural Medicines,Integrative Nursing"
Moxibustion,Moxibustion,"Natural Medicines,MESH, Duke, Cochrane,Mayo"
Multi-modal sensory stimulation,Multi-modal sensory stimulation,Integrative Nursing
Music therapy,Music therapy,"Natural Medicines,Integrative Nursing, Lindquist, Mayo, Duke, Cochrane"
Music therapy,Music Intervention,"Natural Medicines,Integrative Nursing, Lindquist, Mayo"
Music therapy,Music In Therapy,Natural Medicines
Myofascial Release,Myofascial Release,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist, Cochrane"
Myofascial Release,Myotherapy,"Integrative Nursing, NCCIH, Lindquist, Cochrane"
Myofascial Release,Soft Tissue Mobilization,Natural Medicines
Naprapathy,Naprapathy,"Integrative Nursing, NCCIH, Lindquist, Cochrane"
Narrative Therapy and family therapy,Narrative Therapy and family therapy,"Integrative Nursing, NCCIH, Lindquist"
Nature-based therapies,Nature-based therapies,"Natural Medicines,Integrative Nursing"
Naturopathy,Naturopathy,"Integrative Nursing, NCCIH, Mayo, Duke, Cochrane"
Naturopathy,Naturopathic Medicine,Natural Medicines
Neurocranial Restructuring,Neurocranial Restructuring,"Integrative Nursing, NCCIH, Lindquist"
Neurolinguistic Patterning,Neurolinguistic Patterning,Duke
Neurolinguistic Programming,Neurolinguistic Programming,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist"
Neuromuscular Massage,Neuromuscular Massage,Natural Medicines
Neuromuscular Therapy,Neuromuscular Therapy,Natural Medicines
Oakley Smith naprapathic method,Oakley Smith naprapathic method,"Integrative Nursing, NCCIH, Lindquist"
Osteopathic Manipulation,Osteopathic Manipulation,"Natural Medicines,NCCIH, Integrative Nursing, Mayo, Cochrane"
Osteopathic Manipulation,Osteopathy,"Natural Medicines,Integrative Nursing, NCCIH,Lindquist"
Pilates,Pilates,"Natural Medicines,NCCIH, Mayo, Cochrane"
Play therapy,Play therapy,Cochrane
Polarity Therapy,Polarity Therapy,Duke
Positive self-talk,Positive self-talk,Integrative Nursing
Positive thinking,Positive thinking,Mayo
Practitioner-guided detoxification,Practitioner-guided detoxification,Mayo
prayer,prayer,"Natural Medicines,Integrative Nursing,  Lindquist"
"Prayer, distant healing","Prayer, distant healing",Natural Medicines
"Prayer, distant healing",Distant Healing,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist"
"Prayer, distant healing",Absent Healing,Natural Medicines
"Presence, therapeutic use of self","Presence, therapeutic use of self",Integrative Nursing
Progressive Muscle Relaxation,Progressive Muscle Relaxation,"Natural Medicines,NCCIH, Lindquist, Integrative Nursing, Mayo, Duke"
Progressive Muscular Relaxation,Progressive Muscular Relaxation,"Natural Medicines,Integrative Nursing"
Progressive relaxation,Progressive relaxation,"Natural Medicines,Integrative Nursing"
Provide a heat pad,Provide a heat pad,"Natural Medicines,Integrative Nursing"
Provide comfort and privacy,Provide comfort and privacy,Integrative Nursing
Psychic Healing,Psychic Healing,"Natural Medicines,Natural Medicines"
psycho education,psycho education,"SNOMED, Integrative Nursing, Duke, Cochrane"
Psychodrama,Psychodrama,"Integrative Nursing, Duke"
Psychotherapies incorporating mindfulness,Psychotherapies incorporating mindfulness,"Natural Medicines,Cochrane"
Psychotherapies incorporating spirituality,Psychotherapies incorporating spirituality,Cochrane
Pulsed Electromagnetic Field (PEMF) Therapy,Transcranial Pulsed Electromagnetic Field Therapy,Natural Medicines
Pulsed Electromagnetic Field (PEMF) Therapy,Pulsed Magnetic Field Therapy,Natural Medicines
Pulsed Electromagnetic Field (PEMF) Therapy,Electromagnetic Pulse,Natural Medicines
Qi Gong,Qi Gong,"Natural Medicines,Integrative Nursing, NCCIH, Mayo, Duke, Cochrane,,Mayo"
Qi Gong,Medical Qi Gong,"Natural Medicines,Integrative Nursing, NCCIH, Mayo, Duke, Cochrane"
Qi Gong,Qigong,Natural Medicines
Qi Gong,Qigongology,Natural Medicines
Qi Gong,Chi Kung,Natural Medicines
Qi Gong,Hua Gong,Natural Medicines
Qi Gong,Chi'I Kung,Natural Medicines
Qi Gong,Qi Gong Therapy,Natural Medicines
Qi Gong,Qigong Therapy,Natural Medicines
Radionics,Radionics,Duke
Reducing artificial stimuli,Reducing artificial stimuli,Integrative Nursing
Reflexology,Reflexology,"Integrative Nursing, NCCIH, Lindquist, Cochrane"
Reflexology,Reflexotherapy,"Natural Medicines,Integrative Nursing"
Reiki Therapy,Reiki Therapy,"Natural Medicines, Integrative Nursing, Lindquist, Duke, Cochrane"
Reiki Therapy,Reiki Therapie,Natural Medicines
Reiki Therapy,Terapia Reiki,Natural Medicines
Reiki Therapy,Reiki,"Natural Medicines,Integrative Nursing, Lindquist, Duke, Cochrane"
Reiki Therapy,Ray-kee,Natural Medicines
Reiki Therapy,Reiki Touch Therapy,Natural Medicines
relaxation practices,relaxation practices,Integrative Nursing
Relaxation responses,Relaxation responses,Integrative Nursing
Relaxation technique,Relaxation technique,"SNOMED, Cochrane"
Relaxation Therapy,Relaxation Therapy,Natural Medicines
Relaxation Therapy,Traitement de Relaxation,Natural Medicines
Relaxation Therapy,Therapeutic Relaxation,Natural Medicines
Relaxation Therapy,Relaxation Treatment,Natural Medicines
Reminiscence therapy,Reminiscence therapy,Integrative Nursing
Removal of triggers,Removal of triggers,"Integrative Nursing, NCCIH, Lindquist"
Repetitive Transcranial Magnetic Stimulation,Repetitive Transcranial Magnetic Stimulation,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist"
Restorative therapy,Restorative therapy,"ntegrative Nursing, NCCIH, Lindquist"
Rolfing,Rolfing,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist"
Rolfing,Rolfing Therapy,Natural Medicines
Rolfing,Rolfing Method,Natural Medicines
Saunas,Saunas,"Integrative Nursing, NCCIH, Lindquist"
Seeking support,Seeking support,Integrative Nursing
self-care,self-care,Integrative Nursing
self-help groups,self-help groups,Integrative Nursing
self-help materials,self-help materials,"SNOMED, Integrative Nursing, Duke, Cochrane"
Self-hypnosis,Self-hypnosis,"Natural Medicines,Integrative Nursing"
Shamanism medicine,Shamanism medicine,"Natural Medicines,ABC, MESH, Cochrane"
Shiatsu,Shiatsu,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist, Cochrane"
Shiatsu,Shiatsu Therapy,Natural Medicines
Shiatsu,Movement Shiatsu,Natural Medicines
Shiatsu,Shiatsu Massage,Natural Medicines
Shiatsu,Shi-astsu,Natural Medicines
Shirodhara,Shirodhara,Natural Medicines
Shirodhara,Shirodhara Therapy,Natural Medicines
Shirodhara,Shiro Dhara,Natural Medicines
Silence,Silence,Integrative Nursing
Social support,Social support,"Natural Medicines,Duke"
Sophrology,Sophrology,Duke
Sound Healing,Sound Healing,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist"
Sound Therapy,Sound Therapy,Duke
"Spa: Rejuvenating mind, body and spirit","Spa: Rejuvenating mind, body and spirit","Integrative Nursing, NCCIH, Lindquist"
Spinal manipulation,Spinal manipulation,"Natural Medicines,Mayo, Cochrane"
Spinal Manipulative Therapy,Spinal Manipulative Therapy,Natural Medicines
Spiritual healing,Spiritual healing,"Cochrane,Duke,"
Spiritual intervention,Spiritual intervention,Natural Medicines
Supportive-expressive therapy,Supportive-expressive therapy,Integrative Nursing
Tai Chi,Tai Chi,"Natural Medicines,Integrative Nursing,Integrative Nursing, NCCIH, Lindquist, Mayo, Duke, Cochrane,Mayo"
Tai Chi,Taiji,Natural Medicines
Tai Chi,Tai Chi Chih,Natural Medicines
Tai Chi,Tai Chi Martial Arts,Natural Medicines
Tai Chi,Taijiquan,Natural Medicines
Tai Chi,Tai Ji Quan,Natural Medicines
Tai Chi,Tie Chee,"Natural Medicines,Cochrane"
Tai Chi,Tai-Chi,Natural Medicines
Tai Chi,Taichi Quan,Natural Medicines
Tai Chi,Tai Chi Chuan,Natural Medicines
Therapeutic listening,Therapeutic listening,"Natural Medicines,Integrative Nursing, Duke"
Therapeutic relationship,Therapeutic relationship,"Natural Medicines,Integrative Nursing"
Thought Field Therapy,Thought Field Therapy,Natural Medicines
Tibetan Medicine,Tibetan Medicine,"Natural Medicines,Duke,Cochrane"
Traditional Chinese medicine,Traditional Chinese medicine,"Natural Medicines,Integrative Nursing, NCCIH, Mayo, Duke,Cochrane"
Traditional healers,Traditional healers,"Natural Medicines,NCCIH"
Trager psychophysical Integration,Trager psychophysical Integration,"Natural Medicines,NCCIH"
Trager Therapy,Trager Therapy,Natural Medicines
Trager Therapy,Trager Approach,Natural Medicines
Trager Therapy,Trager Movement Therapy,Natural Medicines
Trager Therapy,Trager Therapeutics,Natural Medicines
Trager Therapy,Approche Trager,Natural Medicines
Trager Therapy,Trager Bodywork,Natural Medicines
Trager Therapy,Trager,Natural Medicines
Trager Therapy,Trager Manipulation,Natural Medicines
Trager Therapy,Trager Technique,Natural Medicines
Transcranial Direct Current Stimulation,Transcranial Direct Current Stimulation,"Natural Medicines,Cochrane"
Transcutaneous Electrical Acustimulation,Transcutaneous Electrical Acustimulation,Natural Medicines
Transcutaneous Electrical Acustimulation,Acupuncture-like Transcutaneous Electrical Nerve Stimulation,Natural Medicines
Transcutaneous Electrical Acustimulation,Transcutaneous Electrical Acupoint Stimulation,Natural Medicines
Trigger point massage,Trigger point massage,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist, Cochrane"
